title,artist,album,originalGenre,bpm,initialKey,volume,speed,beats,age,vocals,instruments,funk,attitude,weight,pitch,melody,energy,voice,sounds,mood,genre,other,dir
Hate It Or Love It,50 Cent,50 Cent,,100,G#m,loud,slow,flowing,old,vocal,electronic,cool,serious,light,high,melodic,active,male,,positive,rap,,D:\Music\All\50 Cent - Hate It Or Love It.mp3
Alone Tonight,Above And Beyond,Above And Beyond,,139,G#m,loud,fast,rhythmic,old,vocal,electronic,epic,serious,heavy,high,dance,active,male,,calm,trance,timeless,D:\Music\All\Above And Beyond - Alone Tonight.mp3
Home,Above Beyond,Above Beyond,,137,F#m,loud,fast,rhythmic,old,vocal,electronic,beautiful epic,cute,light,high,melodic,passive,female,,sad,chillout atmospheric trance,timeless,D:\Music\All\Above Beyond - Home.mp3
Good For Me,Above and Beyond,Above and Beyond,,138,Ab,loud,fast,rhythmic,old,vocal,electronic,beautiful,cute,light,high,melodic,active,male female,gentle,uplifting,atmospheric trance,,D:\Music\All\Above and Beyond - Good For Me.mp3
Back In Black,Acdc,Acdc,,93,Em,loud,slow,flowing,old,vocal,guitar,cool,serious,light,high,melodic,active,male,,positive happy,rock,,D:\Music\All\Acdc - Back In Black.mp3
Let There Be Rock,Acdc,Acdc,,91,Am,loud,fast,flowing,old,vocal,guitar,cool,serious,light,high,melodic,active,male,,positive happy uplifting,rock,,D:\Music\All\Acdc - Let There Be Rock.mp3
Thunderstruck,Acdc,Acdc,,133,Bm,loud,fast,flowing,old,vocal,guitar,cool epic,serious,light,high,melodic,active,male,,positive happy uplifting,rock,timeless,D:\Music\All\Acdc - Thunderstruck.mp3
Your Lifes On The Line,50 Cent,50 Cent,,93,Bm,loud,slow,flowing,old,vocal,electronic,cool,serious,heavy,deep,melodic,passive,male,,tense,rap,,D:\Music\All\50 Cent - Your Lifes On The Line.mp3
On My Side,Adryiano,Adryiano,,123,Fm,loud,progressive,rhythmic,new,vocal,electronic,funky,neutral,light,deep,minimal,passive,female,balanced,calm,house,,D:\Music\All\Adryiano - On My Side.mp3
Saudade,Aeroscape,Aeroscape,,128,Ebm,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,passive,ambient,,calm,techno,,D:\Music\All\Aeroscape - Saudade.mp3
Pursuit,African Head Charge,Shrunken Head,Reggae,192,Em,loud,progressive,flowing,old,vocal,acoustic,beautiful,serious,heavy,high,melodic,passive,chorus,soft balanced,calm,atmospheric,timeless,D:\Music\All\African Head Charge - Pursuit.mp3
Pupunanny,Afrika Bambaataa,Afrika Bambaataa,,70,Ab,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,dance,active,male,,positive happy,techno pop,,D:\Music\All\Afrika Bambaataa - Pupunanny (Fargetta).mp3
Pasilda,Afro Medusa,Afro Medusa,,128,Cm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,timeless,D:\Music\All\Afro Medusa - Pasilda.mp3
I Need You Now,Agnes,Agnes,Other,124,Em,loud,fast,flowing,new,vocal,electronic,beautiful,cute,light,high,melodic,active,female,soft,calm,pop,timeless,D:\Music\All\Agnes - I Need You Now.mp3
Release Me,Agnes,Agnes,,128,Gm,loud,fast,rhythmic,modern,vocal,electronic,beautiful funky,cute,light,high,melodic,active,female,balanced,positive uplifting,techno pop,,D:\Music\All\Agnes - Release Me.mp3
Highway To Hell,Acdc,Acdc,,115,F#m,loud,slow,flowing,old,vocal,guitar,cool,serious,light,high,melodic,active,male,,positive happy,rock,,D:\Music\All\Acdc - Highway To Hell.mp3
Chasing You,Airwolf,Airwolf,,120,Ebm,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,house,timeless,D:\Music\All\Airwolf - Chasing You (T Williams).mp3
Intro,Alan Braxe,Alan Braxe,,124,Fm,loud,slow progressive,rhythmic,modern,vocal,electronic,funky,cute,light,deep,melodic,passive,female,balanced,calm,house,,D:\Music\All\Alan Braxe - Intro (Fred Falke).mp3
Destination Calabria (Crystal Waters),Alex Gaudino,Alex Gaudino,,128,Am,loud,fast,rhythmic,modern,vocal,electronic,funky,serious,heavy,high,dance,active,female,balanced,positive,techno pop,,D:\Music\All\Alex Gaudino - Destination Calabria (Crystal Waters).mp3
Hands Out,Alex Gaudino,Alex Gaudino,,128,Bbm,loud,fast,rhythmic,modern,vocal,electronic,cool,serious,heavy,high,melodic,active,male female,strong,positive,techno,,D:\Music\All\Alex Gaudino - Hands Out (Fedde Le Grand).mp3
Hells Bells,Acdc,Acdc,,107,Am,loud,slow,flowing,old,vocal,guitar,cool,serious,light,high,melodic,active,male,,tense,rock,,D:\Music\All\Acdc - Hells Bells.mp3
Odyssey,Alex H,Alex H,,128,Bbm,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,positive,techno,,D:\Music\All\Alex H - Odyssey.mp3
Where Stars Collide,Alex H,Alex H,,128,E,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,positive,techno,,D:\Music\All\Alex H - Where Stars Collide.mp3
Better Off Alone,Alice Deejay,Alice Deejay,,137,G#m,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,calm,trance,,D:\Music\All\Alice Deejay - Better Off Alone.mp3
Pure Shores,All Saints,All Saints,,101,Ebm,loud,slow,flowing,old,vocal,electronic,beautiful,cute,light,high,melodic,active,female,soft,positive uplifting,pop,music timeless,D:\Music\All\All Saints - Pure Shores.mp3
