Tags,Name,Link
"Favorite; new; modern; gentle; light; house; smooth; vocal; mixed; house; sampled; progressive-house; synth; mid; modern; medium; playlist-friendly; funky; favorite; dance-melody; harmonious; balanced; progressive; favorite; house; progressive-house; progressive-house; mid; medium; funky; melodic; balanced; calm; funky; modern; soft; mixed; quantica; mid; medium; funky; melodic; cohesive; balanced; progressive; dreamy; chill","XYconstant - Her Eyes","https://www.youtube.com/watch?v=dHUP7TO6CVs&list=RDdHUP7TO6CVs&start_radio=1"
"Favorite; new; balanced; heavy; house; smooth; mostly-instrumental; female; house; spoken; bass; progressive-house; mid; modern; medium; club-friendly; rhythmic; favorite; minimal; harmonious; loop-heavy; progressive; tense; love; house; progressive-house; progressive-house; mid; medium; bouncy; minimal; loop-heavy; serious; cool; modern; strong; instrumental; mid; medium; rhythmic; minimal; harmonious; loop-heavy; progressive; calm; cool; cool","Daniel Stefanik - Rush","https://www.youtube.com/watch?v=xoLUnqFEx_c&list=RDxoLUnqFEx_c&start_radio=1"
"Favorite; new; modern; strong; heavy; deep; house; instrumental; house; bass; progressive-house; mid; modern; high; club-friendly; rhythmic; favorite; minimal; cohesive; loop-heavy; progressive; tense; none; none; favorite; techno; electro; progressive-house; mid; medium; bouncy; minimal; loop-heavy; serious; cool; modern; heavy; instrumental; other; mid; medium; rhythmic; minimal; harmonious; loop-heavy; progressive; serious; serious","Psyk - Distane","https://www.youtube.com/watch?v=2qDCoLvBaVo&list=RD2qDCoLvBaVo&start_radio=1"
"new; maybe; house; progressive-house; mid; medium; funky; melodic; balanced; calm; funky; modern; balanced; male; quantica","Ganzfeld Effect - Loving","https://www.youtube.com/watch?v=8IF4AcPhVZk&list=RD8IF4AcPhVZk&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; driving; minimal; loop-heavy; serious; cool; heavy; instrumental; other","Gary Beck - Before The Crash","Gary Beck - Before The Crash"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; calm; modern; balanced; female; quantica","Belters Only, Sonny Fodera, Jazzy – Life Lesson","https://www.youtube.com/watch?v=oAw9d5aqJdI&list=RDoAw9d5aqJdI&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; female; quantica","Gorgon City – Voodoo","https://www.youtube.com/watch?v=tG7NLC9dIXY&list=RDtG7NLC9dIXY&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; male; quantica","Navos – The Garden","https://www.youtube.com/watch?v=4GbL-f_PM-k&list=RD4GbL-f_PM-k&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; female; quantica","Hayla – Fall Again","https://www.youtube.com/watch?v=o9GfHjbyBK8&list=RDo9GfHjbyBK8&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; male; quantica","070 Shake – Black Dress (Anyma Remix)","https://www.youtube.com/watch?v=_wRBCU_-SU8&list=RD_wRBCU_-SU8&start_radio=1"
"new; maybe; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; female; quantica","Low Steppa – Waves","https://www.youtube.com/watch?v=KTpNoQUd7yI&list=RDKTpNoQUd7yI&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; calm; funky; balanced; male; quantica","Weiss - Baby Talk To Me","https://www.youtube.com/watch?v=jYtIlA4hPgc&list=RDjYtIlA4hPgc&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; positive; modern; balanced; female; quantica","Soul Reductions – Got To Be Loved","https://www.youtube.com/watch?v=AtqHxWrj-fs&list=RDAtqHxWrj-fs&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; positive; modern; balanced; male; quantica","Supershy – Happy Music (Club Edit)","https://www.youtube.com/watch?v=o7gbco-SOAc&list=RDo7gbco-SOAc&start_radio=1"
"new; maybe; house; progressive-house; mid; medium; funky; melodic; balanced; calm; classy; balanced; male; other","DJ Koze – Pick Up (12"" Disco Version)","https://www.youtube.com/watch?v=WLFnqY8nfPc&list=RDWLFnqY8nfPc&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; calm; modern; balanced; male; quantica","Jamie Jones – My Paradise","https://www.youtube.com/watch?v=t4lGt5EWUcE&list=RDt4lGt5EWUcE&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; classy; balanced; female; quantica","Cricco Castelli – Life Is Changing","https://www.youtube.com/watch?v=tuxKAURX2qk&list=RDtuxKAURX2qk&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; calm; classy; balanced; mixed; quantica","Brame, Hamo – Roy Keane","https://www.youtube.com/watch?v=VQdeIl46NEY&list=RDVQdeIl46NEY&start_radio=1"
